cell_type	n_total	AD_mean_pct	CT_mean_pct	AC_mean_pct	delta_pct	n_AD_donors	n_CT_donors	MWU_p	sig
Excitatory neuron	34951	30.02947748272872	34.028282960355774	37.78158760659297	-3.998805477627055	13	8	0.5466312840925844	ns
OPC	6870	8.515761931764656	10.286337216140065	7.024122035720995	-1.7705752843754095	13	8	0.5002113125952136	ns
Inhibitory neuron	23428	21.17071689973168	21.880729917416815	26.603605993792762	-0.7100130176851351	13	8	0.7501007420512065	ns
Vascular cell	1507	1.9993340890524005	1.993907039878534	0.7223908090946135	0.005427049173866605	13	8	0.6969973954494079	ns
Lymphocyte	171	0.27949826472254	0.22166329374102645	0.1053612602589529	0.05783497098151358	13	8	0.5622156526809016	ns
Microglia	3577	5.449002412817392	4.727858819734498	2.0873215708887485	0.7211435930828936	13	8	0.7501007420512065	ns
Oligodendrocyte	18936	22.363974075693832	20.110607912508875	18.51398431876483	2.253366163184957	13	8	0.8044424787458844	ns
Astrocyte	6047	10.192234843488784	6.750612840224411	7.1616264048861265	3.4416220032643725	13	8	0.1613936802791292	ns
