"gene_id","lr","df","pvalue","adj_pvalue","cell_type"
"TFEB",0.570948345306363,1,0.449882315151605,0.967520859974924,"Oligodendrocyte"
"TFG",0.0210103039447631,1,0.884750889739013,0.988044395262038,"Oligodendrocyte"
"TGOLN2",2.60134603143297,1,0.106772996999027,0.841846327475971,"Oligodendrocyte"
"THUMPD1",0.0154766895670946,1,0.900994342475254,0.988044395262038,"Oligodendrocyte"
"TIAM1",0.0792808905458458,1,0.778274300846308,0.978997479843038,"Oligodendrocyte"
"TINF2",1.25465025168671,1,0.262666159479468,0.924335153800038,"Oligodendrocyte"
"TJAP1",0.655178898054601,1,0.418267151062061,0.967520859974924,"Oligodendrocyte"
"TJP2",9.16261714989923,8,0.328764152622243,0.933503502908339,"Oligodendrocyte"
"TKT",0.104619989705043,1,0.746354366150408,0.978997479843038,"Oligodendrocyte"
"TLCD5",0.258334148772065,1,0.611266933505841,0.978997479843038,"Oligodendrocyte"
"TMC6",4.85375270901113,3,0.182824708902816,0.912212484839137,"Oligodendrocyte"
"TMC8",0.0187479219517002,1,0.891091618208301,0.988044395262038,"Oligodendrocyte"
"TMCC1",2.67114500955796,1,0.102182485948513,0.841846327475971,"Oligodendrocyte"
"TMCC2",0.0405531482356309,1,0.840402920487346,0.978997479843038,"Oligodendrocyte"
"TMCC3",0.0798439675181726,1,0.777508972549373,0.978997479843038,"Oligodendrocyte"
"TMEFF1",0.0109802483209478,1,0.916545079618459,0.988044395262038,"Oligodendrocyte"
"TMEFF2",0.0609400982011721,2,0.969989483689606,0.992160671888225,"Oligodendrocyte"
"TMEM106B",0.107329672058768,1,0.743204990435854,0.978997479843038,"Oligodendrocyte"
"TMEM131",0.975442093706533,1,0.323326676381582,0.929726507185594,"Oligodendrocyte"
"TMEM144",3.65273443327169,1,0.0559772373863899,0.841846327475971,"Oligodendrocyte"
"TMEM147-AS1",0.445227933608095,1,0.50460988780998,0.967520859974924,"Oligodendrocyte"
"TMEM161B-DT",0.6077621739596,2,0.737948612931704,0.978997479843038,"Oligodendrocyte"
"TMEM165",0.155455796912747,1,0.693375190190555,0.978997479843038,"Oligodendrocyte"
"TMEM184B",2.01080058049877,1,0.156182881320142,0.903668796528303,"Oligodendrocyte"
"TMEM259",0.121771285512978,1,0.72712127155913,0.978997479843038,"Oligodendrocyte"
"TMEM260",0.14451391433721,1,0.703834177758746,0.978997479843038,"Oligodendrocyte"
"TMEM50B",0.255495742563426,1,0.613231666481583,0.978997479843038,"Oligodendrocyte"
"TMEM63A",0.596386886184519,1,0.439959922781595,0.967520859974924,"Oligodendrocyte"
"TMEM87A",1.79051473233812,1,0.180863460504331,0.911959420571136,"Oligodendrocyte"
"TMEM94",1.86189260267741,1,0.172406525619265,0.903668796528303,"Oligodendrocyte"
"TMEM98",0.644460676626977,1,0.422100122319251,0.967520859974924,"Oligodendrocyte"
"TMF1",0.728639485512758,1,0.393324539943707,0.957103644814802,"Oligodendrocyte"
"TMTC4",2.16803752496253,3,0.538271389268866,0.968347524413337,"Oligodendrocyte"
"TMX2",0.134902357040176,1,0.713402293216351,0.978997479843038,"Oligodendrocyte"
"TNKS",0.010140758346779,1,0.919787553651707,0.988044395262038,"Oligodendrocyte"
"TNPO1",0.901815081276254,1,0.34229548697317,0.942629110279961,"Oligodendrocyte"
"TNRC6B",0.0740745778296059,1,0.785494035559209,0.978997479843038,"Oligodendrocyte"
"TOGARAM1",0.981534581738515,2,0.612156511837163,0.978997479843038,"Oligodendrocyte"
"TOM1",1.30695429310464,1,0.252946838419465,0.924335153800038,"Oligodendrocyte"
"TOR1AIP1",1.86639862330048,1,0.171888120218457,0.903668796528303,"Oligodendrocyte"
"TP53INP1",1.21954334457928,1,0.2694502894395,0.924335153800038,"Oligodendrocyte"
"TPD52",0.334279698327009,1,0.563149847427043,0.978997479843038,"Oligodendrocyte"
"TPD52L2",0.993882868759101,2,0.60838861342445,0.978997479843038,"Oligodendrocyte"
"TPP2",7.2261608324286,3,0.065028159527295,0.841846327475971,"Oligodendrocyte"
"TPR",0.20645594528014,1,0.649559493622522,0.978997479843038,"Oligodendrocyte"
"TRA2B",0.08343297415297,1,0.772697953814937,0.978997479843038,"Oligodendrocyte"
"TRAPPC13",0.930085944690745,2,0.628108113330916,0.978997479843038,"Oligodendrocyte"
"TRAPPC9",0.607943148927234,1,0.43556330360721,0.967520859974924,"Oligodendrocyte"
"TRIM11",0.256221046920871,1,0.612728314592826,0.978997479843038,"Oligodendrocyte"
"TRIM2",11.4675927088538,13,0.571707475288574,0.978997479843038,"Oligodendrocyte"
"TRIM24",0.00591726376330826,1,0.938684201432627,0.988044395262038,"Oligodendrocyte"
"TRIM32",3.05431440754325,1,0.080522972018274,0.841846327475971,"Oligodendrocyte"
"TRIM44",0.565447012863842,1,0.452073845861513,0.967520859974924,"Oligodendrocyte"
"TRIM9",0.00944406607504789,1,0.922582986090176,0.988044395262038,"Oligodendrocyte"
"TRMT2A",0.159455119600921,2,0.923367874649893,0.988044395262038,"Oligodendrocyte"
"TRNT1",0.493543083073973,2,0.781319172120314,0.978997479843038,"Oligodendrocyte"
"TRPC4AP",0.740074766838688,1,0.389636928684777,0.957103644814802,"Oligodendrocyte"
"TSC1",0.0937104036459004,2,0.954225557708714,0.988044395262038,"Oligodendrocyte"
"TSC2",3.12826080747777,3,0.37226951080249,0.957073499944643,"Oligodendrocyte"
"TSC22D3",0.995690134650204,2,0.607839101745483,0.978997479843038,"Oligodendrocyte"
"TSEN2",0.174419544137237,1,0.676213520565168,0.978997479843038,"Oligodendrocyte"
"TSEN54",6.73870958787643,3,0.0807091219840376,0.841846327475971,"Oligodendrocyte"
"TTC1",0.106657335442208,1,0.743982284510901,0.978997479843038,"Oligodendrocyte"
"TTC14",2.7732435435446,2,0.249918160735153,0.924335153800038,"Oligodendrocyte"
"TTC3",2.8291635001242,5,0.726303497324928,0.978997479843038,"Oligodendrocyte"
"TTI1",0.515933673659674,1,0.472581434408639,0.967520859974924,"Oligodendrocyte"
"TTLL7",2.39878616073474,3,0.493860618508221,0.967520859974924,"Oligodendrocyte"
"TTYH1",4.11076659104606,2,0.12804374757533,0.876909814177403,"Oligodendrocyte"
"TTYH2",1.65149881036223,1,0.198755057707805,0.917099264265582,"Oligodendrocyte"
"TUBB4B",0.172624802714154,1,0.677789520648873,0.978997479843038,"Oligodendrocyte"
"TUBGCP2",8.95690936031099,1,0.0027642213160981,0.343651811168692,"Oligodendrocyte"
"TUBGCP6",0.718521784639961,1,0.396629219028003,0.957103644814802,"Oligodendrocyte"
"TULP4",0.0925009721986498,1,0.76102144341823,0.978997479843038,"Oligodendrocyte"
"TUT4",2.70251786950485,2,0.258914099423464,0.924335153800038,"Oligodendrocyte"
"TUT7",0.0394047039862357,1,0.842649049059316,0.978997479843038,"Oligodendrocyte"
"TYRO3",0.325162446191371,1,0.568521596196943,0.978997479843038,"Oligodendrocyte"
"U2AF1",0.628258163110218,1,0.427994951794555,0.967520859974924,"Oligodendrocyte"
"U2SURP",1.67735593089128,3,0.641979769015565,0.978997479843038,"Oligodendrocyte"
"UBA1",1.09098286174194,1,0.296253541069295,0.924335153800038,"Oligodendrocyte"
"UBA6",0.00651363877386757,1,0.93567487654172,0.988044395262038,"Oligodendrocyte"
"UBC",1.97694888112892,1,0.159712205131249,0.903668796528303,"Oligodendrocyte"
"UBE2D3",7.91126469122719,2,0.0191465574792185,0.681943103007525,"Oligodendrocyte"
"UBE2G2",0.487011950993406,1,0.485263240991388,0.967520859974924,"Oligodendrocyte"
"UBE2I",0.432817006216169,2,0.805406223717672,0.978997479843038,"Oligodendrocyte"
"UBE3A",0.101204781121396,2,0.950656585428084,0.988044395262038,"Oligodendrocyte"
"UBE4A",0.312092714540086,1,0.576398842339773,0.978997479843038,"Oligodendrocyte"
"UBQLN1",4.12649995123229,1,0.0422165802488216,0.792931125152911,"Oligodendrocyte"
"UBR1",0.169913704093688,1,0.680188512959934,0.978997479843038,"Oligodendrocyte"
"UBR2",0.547523751615699,1,0.459331256747161,0.967520859974924,"Oligodendrocyte"
"UBR3",0.0246452807873538,1,0.875254183347253,0.988044395262038,"Oligodendrocyte"
"UBR4",0.276223383772958,1,0.599187296969903,0.978997479843038,"Oligodendrocyte"
"UBXN7",1.96338139922227,1,0.16115214514078,0.903668796528303,"Oligodendrocyte"
"UCHL5",2.76423751896107,1,0.0963926058814634,0.841846327475971,"Oligodendrocyte"
"UFD1",0.787421751756483,1,0.374880871452652,0.957103644814802,"Oligodendrocyte"
"UGP2",0.000391003485106012,1,0.984223811939868,0.996143795416575,"Oligodendrocyte"
"UGT8",1.9044035889674,1,0.167586244457111,0.903668796528303,"Oligodendrocyte"
"ULK3",0.000584634997494504,1,0.980709648082239,0.996011500747352,"Oligodendrocyte"
"USO1",0.746855269148455,1,0.38747370124231,0.957103644814802,"Oligodendrocyte"
"USP1",29.5869750966722,1,5.34629884811283e-08,7.65589995049758e-05,"Oligodendrocyte"
"USP11",12.56811806527,1,0.00039238351515015,0.0936488656158358,"Oligodendrocyte"
"USP15",0.163450500727208,1,0.685999390310709,0.978997479843038,"Oligodendrocyte"
"USP16",0.472081005598739,3,0.924980857871621,0.988044395262038,"Oligodendrocyte"
"USP34",0.464594433346065,1,0.495484550148872,0.967520859974924,"Oligodendrocyte"
"USP38",0.134089485899835,1,0.714229039665447,0.978997479843038,"Oligodendrocyte"
"USP47",0.0695943478813206,1,0.791928326904089,0.978997479843038,"Oligodendrocyte"
"USP48",0.897104088312062,2,0.638552077770903,0.978997479843038,"Oligodendrocyte"
