cluster	layer	n_cells	KIF21B	RBFOX1	FEZF2	RORB	CUX1	NDUFS4	NDUFS8	layer_order
1	L2/3	10258	0.07691028714179993	3.9254870414733887	0.0013202872360125184	0.13053064048290253	0.9057605266571045	0.34724825620651245	0.14372210204601288	0
2	L2/3	9711	0.15569061040878296	4.103911876678467	0.0012601754860952497	1.0490738153457642	1.06110680103302	0.3653790056705475	0.13263675570487976	0
27	L2/3	666	0.12793560326099396	4.039740562438965	0.0023236223496496677	0.036449313163757324	2.0539803504943848	0.41237354278564453	0.14603042602539062	0
10	L4	4156	0.19212421774864197	3.5712480545043945	0.004082966595888138	2.4465770721435547	0.7957150936126709	0.4339931011199951	0.15323927998542786	1
11	L4	4290	0.22041961550712585	3.919198989868164	0.10655536502599716	2.1495847702026367	0.41695737838745117	0.42347702383995056	0.14578895270824432	1
18	L4	1603	0.2876219153404236	2.9377071857452393	0.014941608533263206	2.1549835205078125	0.9823415875434875	0.39244556427001953	0.1505005955696106	1
19	L5	1410	0.22430136799812317	3.8412835597991943	0.1883738934993744	0.0415068119764328	0.5462275147438049	0.4018271267414093	0.1269138753414154	2
26	L5	744	0.14681825041770935	4.056694984436035	0.2869800925254822	0.07873591780662537	0.2116905003786087	0.474254846572876	0.1525002121925354	2
25	L6	757	0.24211730062961578	3.721730947494507	0.018392745405435562	2.1594810485839844	0.6675277352333069	0.4263728857040405	0.14326967298984528	3
20	Unclassified	1356	0.20064526796340942	4.125993251800537	0.004247305914759636	0.3539891839027405	0.6532057523727417	0.39839351177215576	0.12053246051073074	4
