cls	gene	meta_long	meta_short	topidp_long	topidp_short
slim	STK39	0.9246238470077515		0.14428571428571432	
slim	NDUFS2	0.18190476298332214		0.05352380952380953	
slim	CZIB	0.11870667338371277		0.015333333333333319	
slim	ALOX15B	0.020555172115564346		0.016862068965517236	
slim	NOP2	0.9606750011444092		0.020250000000000018	
slim	G3BP2	0.9511758089065552		0.21866666666666665	
slim	GBF1	0.7863749861717224		0.146125	
slim	SOS1	0.987446665763855		0.1112	
slim	DCAF4	0.052742861211299896	0.0803999975323677	-0.09485714285714286	0.06
slim	CPSF6	0.673875629901886		0.06675675675675674	
slim	UBAP2L	0.8778833150863647	0.9691374897956848	0.09872222222222223	0.14150000000000001
slim	ACER3	0.13037142157554626		-0.07342857142857143	
slim	GPR107	0.5142842531204224		0.11194736842105267	
slim	PCMTD2	0.10908149182796478		0.07748148148148147	
slim	SPCS2	0.48037418723106384		0.1373548387096775	
slim	TSC1	0.6552500128746033		0.48033333333333333	
slim	SOGA3	0.4253999888896942		0.17933333333333334	
slim	LETR1	0.7585999965667725		-0.07624999999999998	
slim	GGA3	0.04915454611182213		0.08303030303030302	
slim	DNPEP	0.7045570611953735		0.1475714285714286	
slim	PRKCSH	0.9549600481987		0.6064	
slim	HARS1	0.09459750354290009		0.089525	
slim	DOCK6	0.4273342490196228		0.1616	
slim	KMT2A	0.27815788984298706		0.09968421052631579	
slim	LRSAM1	0.12288788706064224		0.11639393939393937	
slim	DPP10	0.9575778245925903	0.9693818688392639	0.21005555555555555	0.33736363636363637
slim	ESRRG	0.8833739161491394		0.13260869565217387	
slim	NAP1L1	0.9607444405555725	0.8055499792098999	0.4116666666666667	-0.289
slim	CORO6	0.04229249805212021		0.04987500000000002	
slim	SNCA	0.7150571942329407		0.20464285714285715	
slim	MPP2	0.7493999600410461		0.16827272727272727	
slim	MYL6	0.11686000972986221	0.133760005235672	-0.09580000000000001	-0.020200000000000006
slim	DCP1A	0.9382157325744629		0.2215	
slim	C1orf21	0.31981000304222107	0.6767250299453735	0.0885	0.19887499999999997
slim	PRORP	0.0967937558889389		0.1580625	
slim	FPGS	0.05454999953508377		-0.0013846153846153858	
