tissue	covariate	ctype	axis	axis_label	single_axis_metric	ceiling_1280	subspace_8axis
muscle	domain_binary	binary	0	axis0(betaSheet/TM)	0.46383722222464485	0.6241214332558845	0.6049498952615548
muscle	domain_binary	binary	1	axis1(LRR/Ig)	0.4940199516860143	0.6241214332558845	0.6049498952615548
muscle	domain_binary	binary	2	axis2(Pro-turn)	0.5631950068764819	0.6241214332558845	0.6049498952615548
muscle	domain_binary	binary	3	axis3(domain)	0.621476818902456	0.6241214332558845	0.6049498952615548
muscle	domain_binary	binary	4	axis4(helix-charge)	0.5396384921416765	0.6241214332558845	0.6049498952615548
muscle	domain_binary	binary	5	axis5(LENGTH)	0.5424594948724919	0.6241214332558845	0.6049498952615548
muscle	domain_binary	binary	6	axis6(KRAB-ZNF)	0.4291491340936203	0.6241214332558845	0.6049498952615548
muscle	domain_binary	binary	7	axis7(acidic-hel)	0.5258942388591547	0.6241214332558845	0.6049498952615548
muscle	nterm_overlap	binary	0	axis0(betaSheet/TM)	0.522750972363313	0.7670461093457756	0.63470198355981
muscle	nterm_overlap	binary	1	axis1(LRR/Ig)	0.5472576957829013	0.7670461093457756	0.63470198355981
muscle	nterm_overlap	binary	2	axis2(Pro-turn)	0.43664407948352835	0.7670461093457756	0.63470198355981
muscle	nterm_overlap	binary	3	axis3(domain)	0.5439699593225515	0.7670461093457756	0.63470198355981
muscle	nterm_overlap	binary	4	axis4(helix-charge)	0.460092049272947	0.7670461093457756	0.63470198355981
muscle	nterm_overlap	binary	5	axis5(LENGTH)	0.45564451630485964	0.7670461093457756	0.63470198355981
muscle	nterm_overlap	binary	6	axis6(KRAB-ZNF)	0.4565892208522276	0.7670461093457756	0.63470198355981
muscle	nterm_overlap	binary	7	axis7(acidic-hel)	0.47933194411002256	0.7670461093457756	0.63470198355981
muscle	resync_failure_binary	binary	0	axis0(betaSheet/TM)	0.5125390602207212	0.7757762047381425	0.741381293457418
muscle	resync_failure_binary	binary	1	axis1(LRR/Ig)	0.47052894257046507	0.7757762047381425	0.741381293457418
muscle	resync_failure_binary	binary	2	axis2(Pro-turn)	0.6126598277809351	0.7757762047381425	0.741381293457418
muscle	resync_failure_binary	binary	3	axis3(domain)	0.7112718521023019	0.7757762047381425	0.741381293457418
muscle	resync_failure_binary	binary	4	axis4(helix-charge)	0.628776753863259	0.7757762047381425	0.741381293457418
muscle	resync_failure_binary	binary	5	axis5(LENGTH)	0.5390083615689152	0.7757762047381425	0.741381293457418
muscle	resync_failure_binary	binary	6	axis6(KRAB-ZNF)	0.3277314178698262	0.7757762047381425	0.741381293457418
muscle	resync_failure_binary	binary	7	axis7(acidic-hel)	0.6122383762522171	0.7757762047381425	0.741381293457418
muscle	size	cont	0	axis0(betaSheet/TM)	0.06056582430449431	0.6140171105295421	0.4388323070509795
muscle	size	cont	1	axis1(LRR/Ig)	0.02365483291012309	0.6140171105295421	0.4388323070509795
muscle	size	cont	2	axis2(Pro-turn)	0.1524401790431164	0.6140171105295421	0.4388323070509795
muscle	size	cont	3	axis3(domain)	0.3875686916162374	0.6140171105295421	0.4388323070509795
muscle	size	cont	4	axis4(helix-charge)	0.18193419310102385	0.6140171105295421	0.4388323070509795
muscle	size	cont	5	axis5(LENGTH)	0.01917663053234859	0.6140171105295421	0.4388323070509795
muscle	size	cont	6	axis6(KRAB-ZNF)	-0.30688388224237	0.6140171105295421	0.4388323070509795
muscle	size	cont	7	axis7(acidic-hel)	0.1358912600954767	0.6140171105295421	0.4388323070509795
muscle	disorder_frac	cont	0	axis0(betaSheet/TM)	0.4352040128864276	0.5463758605313164	0.4861182632397316
muscle	disorder_frac	cont	1	axis1(LRR/Ig)	0.16731255595748382	0.5463758605313164	0.4861182632397316
muscle	disorder_frac	cont	2	axis2(Pro-turn)	-0.1734717802504454	0.5463758605313164	0.4861182632397316
muscle	disorder_frac	cont	3	axis3(domain)	-0.13036326751935243	0.5463758605313164	0.4861182632397316
muscle	disorder_frac	cont	4	axis4(helix-charge)	0.07123144175255121	0.5463758605313164	0.4861182632397316
muscle	disorder_frac	cont	5	axis5(LENGTH)	-0.2854971848773781	0.5463758605313164	0.4861182632397316
muscle	disorder_frac	cont	6	axis6(KRAB-ZNF)	0.1262792867768448	0.5463758605313164	0.4861182632397316
muscle	disorder_frac	cont	7	axis7(acidic-hel)	-0.10075240945484362	0.5463758605313164	0.4861182632397316
brain	domain_binary	binary	0	axis0(betaSheet/TM)	0.44969780169862	0.8125290237004714	0.7077872699727464
brain	domain_binary	binary	1	axis1(LRR/Ig)	0.5243922428314265	0.8125290237004714	0.7077872699727464
brain	domain_binary	binary	2	axis2(Pro-turn)	0.5664788612530378	0.8125290237004714	0.7077872699727464
brain	domain_binary	binary	3	axis3(domain)	0.706952806716756	0.8125290237004714	0.7077872699727464
brain	domain_binary	binary	4	axis4(helix-charge)	0.5141846632305151	0.8125290237004714	0.7077872699727464
brain	domain_binary	binary	5	axis5(LENGTH)	0.5794368484326413	0.8125290237004714	0.7077872699727464
brain	domain_binary	binary	6	axis6(KRAB-ZNF)	0.37963994017173097	0.8125290237004714	0.7077872699727464
brain	domain_binary	binary	7	axis7(acidic-hel)	0.4865247545303672	0.8125290237004714	0.7077872699727464
