cluster	subtype	n_cells	score_MOL_mature	score_MFOL	score_MOL_OPALIN	score_MOL_KLK6	MBP	MOG	MAG	PLP1	CNP	ENPP2	BCAS1	OPALIN	KLK6	ANLN
0	MFOL	14993	0.3910568015691042	0.4982668376643307	0.3733084893157186	-0.31971829319524725	3.5463080406188965	1.8855435848236084	1.5234240293502808	4.112339973449707	2.4542202949523926	2.075430154800415	1.6811710596084595	1.6558938026428223	0.5387396216392517	1.5171416997909546
3	MFOL	3433	-0.7414083964177846	0.6651240747132027	-0.1631285749447584	-1.1301482957099824	3.4299557209014893	1.6654436588287354	0.9283269643783569	3.0771493911743164	1.584065318107605	2.141754150390625	1.8939704895019531	1.1012028455734253	0.22912217676639557	1.3574557304382324
28	MOL_KLK6	502	0.3425006831092688	0.24519664836940067	-0.05175222194887108	1.0980259408468465	3.744162082672119	1.9711366891860962	1.485626459121704	3.85095477104187	2.180776357650757	2.2195658683776855	1.624890923500061	0.11256027221679688	0.7057149410247803	2.0554261207580566
32	MOL_KLK6	8	0.00785091173941157	-1.408587560746934	-0.15842769242208893	0.35184064805838344	2.814683437347412	1.1052371263504028	1.7735307216644287	4.006814956665039	3.795872926712036	1.4695698022842407	0.0	1.7966983318328857	0.6000840663909912	0.9428908824920654
