cluster	n	KIT	PRSS12	KIF21B	LAMP5	ADARB2	NDNF	LHX6	SST	PVALB
13	2652	0.40669214725494385	0.026996862143278122	0.14915812015533447	0.20522171258926392	4.026714324951172	0.49576637148857117	0.005228173453360796	0.28886085748672485	0.020226866006851196
15	2097	2.078575611114502	0.5596610903739929	0.1430128812789917	0.5795456171035767	4.091007232666016	0.017180636525154114	0.006299983244389296	0.030311807990074158	0.011810129508376122
22	979	1.2829411029815674	0.38872408866882324	0.18148142099380493	0.91387939453125	3.397751808166504	0.0031950129196047783	0.50449138879776	0.026776812970638275	0.013520906679332256
