"gene_id","lr","df","pvalue","adj_pvalue","cell_type"
"LUC7L3",0.181361227097568,1,0.670206023960366,0.987152493054724,"Inhibitory_neuron"
"M6PR",2.93683008352991,1,0.0865804919267,0.938732760528795,"Inhibitory_neuron"
"MACF1",10.6289152737909,6,0.100544948329105,0.938732760528795,"Inhibitory_neuron"
"MACIR",3.04069811867066,1,0.0812009890480717,0.938732760528795,"Inhibitory_neuron"
"MACROH2A1",0.0891337086414978,1,0.765281367820999,0.98857909540634,"Inhibitory_neuron"
"MACROH2A2",4.24630244479982,1,0.0393358864795902,0.864051899261454,"Inhibitory_neuron"
"MAD1L1",0.446116146650866,1,0.504185128274495,0.987152493054724,"Inhibitory_neuron"
"MADD",0.488734934472404,2,0.78319978111884,0.98857909540634,"Inhibitory_neuron"
"MAGED1",0.812167641168344,1,0.367480162017368,0.987152493054724,"Inhibitory_neuron"
"MAGED2",0.744136118756614,1,0.388339144692015,0.987152493054724,"Inhibitory_neuron"
"MAGED4",1.90203398709309,2,0.386347910260137,0.987152493054724,"Inhibitory_neuron"
"MAGED4B",0.58968997716056,2,0.744647007309775,0.98857909540634,"Inhibitory_neuron"
"MAGI1",1.47382168677461,1,0.224743684302907,0.987152493054724,"Inhibitory_neuron"
"MAGI2-AS3",2.63546918631332,1,0.104501185862595,0.938732760528795,"Inhibitory_neuron"
"MAGI3",0.00474820381896279,1,0.945063478090691,0.994219783746647,"Inhibitory_neuron"
"MALAT1",10.0430587164883,13,0.690409568129067,0.987152493054724,"Inhibitory_neuron"
"MAN1A2",0.805331082405701,1,0.369504227939496,0.987152493054724,"Inhibitory_neuron"
"MAN1B1",2.37040506305016,1,0.123654962413347,0.938732760528795,"Inhibitory_neuron"
"MAN2B2",3.0729635024569,1,0.0796042346297349,0.938732760528795,"Inhibitory_neuron"
"MAOA",0.366475474358964,1,0.544931732646456,0.987152493054724,"Inhibitory_neuron"
"MAP1A",0.303656838146708,1,0.581598941964007,0.987152493054724,"Inhibitory_neuron"
"MAP1B",1.16068479787646,1,0.281323564656798,0.987152493054724,"Inhibitory_neuron"
"MAP2",3.19248263884356,2,0.202656810468833,0.978301626727524,"Inhibitory_neuron"
"MAP3K13",0.576218358604535,1,0.447798432902783,0.987152493054724,"Inhibitory_neuron"
"MAP4",0.0553872980376582,1,0.813940922987002,0.98857909540634,"Inhibitory_neuron"
"MAP9",0.493886065075458,2,0.781185194401902,0.98857909540634,"Inhibitory_neuron"
"MAPK10",0.190003531897673,3,0.97918670538248,0.997012452059248,"Inhibitory_neuron"
"MAPK8IP3",2.51476698642853,1,0.112784303190423,0.938732760528795,"Inhibitory_neuron"
"MAPRE2",0.000437929859344877,1,0.983304068938696,0.997199914450521,"Inhibitory_neuron"
"MAPT",1.86180949684149,5,0.867916800647072,0.989527678515857,"Inhibitory_neuron"
"MARCHF6",0.0205537938427369,1,0.886001177998996,0.991043084521294,"Inhibitory_neuron"
"MARK1",2.0625368596636,1,0.150958668924224,0.938732760528795,"Inhibitory_neuron"
"MARK3",2.7734603259812,3,0.427887474668934,0.987152493054724,"Inhibitory_neuron"
"MAST4",0.454255441546934,1,0.500321009911965,0.987152493054724,"Inhibitory_neuron"
"MAT2A",0.369099053612899,1,0.54349577109288,0.987152493054724,"Inhibitory_neuron"
"MATCAP1",2.7723501893322,1,0.0959052557823312,0.938732760528795,"Inhibitory_neuron"
"MATR3",4.75625267031501,5,0.446345708017624,0.987152493054724,"Inhibitory_neuron"
