gene	cell_type	tier	cluster_id	subtype	layer	delta	stager_p	perm_p	cluster_AD_delta	cluster_mwu_p	mechanism	co_enrichment_score
MTHFD1	OPC	C	31	Immature OL	WM/L6	0.0		1.0	0.0	1.0		-0.0
PML	Excitatory	C	1	L2/3 IT	L2/3	-0.1056		0.5286	-0.68	0.97177		-0.07180800000000001
PML	Excitatory	C	2	L2/3 IT	L2/3	-0.1056		0.5286	-2.89	0.80444		-0.305184
PML	Excitatory	C	10	L4 IT	L4	-0.1056		0.5286	3.37	0.12125		0.355872
PML	Excitatory	C	11	L4 IT	L4	-0.1056		0.5286	3.18	0.08905		0.335808
PML	Excitatory	C	18	L4 IT atypical	L4	-0.1056		0.5286	4.57	0.00994		0.482592
PML	Excitatory	C	19	L5 ET	L5	-0.1056		0.5286	-4.46	0.01265		-0.470976
PML	Excitatory	C	20	Unclassified	Mixed	-0.1056		0.5286	-2.89	0.23196		-0.305184
PML	Excitatory	C	25	L6 CT	L6	-0.1056		0.5286	0.18	0.7501		0.019008
PML	Excitatory	C	26	L5 ET	L5	-0.1056		0.5286	0.16	0.91553		0.016896
PML	Excitatory	C	27	L2/3 IT	L2/3	-0.1056		0.5286	-0.55	0.80444		-0.05808000000000001
PTPRF	Inhibitory	C	7	PV	L3-5	0.0		1.0	0.0	1.0		-0.0
PTPRF	Inhibitory	C	8	VIP	L1-3	0.0		1.0	0.0	1.0		-0.0
PTPRF	Inhibitory	C	9	SST	L3-5	0.0		1.0	0.0	1.0		-0.0
PTPRF	Inhibitory	C	13	LAMP5/NDNF	L1	0.0		1.0	0.0	1.0		-0.0
PTPRF	Inhibitory	C	15	LAMP5/KIT	L1-2	0.0		1.0	0.0	1.0		-0.0
PTPRF	Inhibitory	C	16	VIP	L1-3	0.0		1.0	0.0	1.0		-0.0
PTPRF	Inhibitory	C	21	PV	L3-5	0.0		1.0	0.0	1.0		-0.0
PTPRF	Inhibitory	C	22	LAMP5/LHX6	L2-3	0.0		1.0	0.0	1.0		-0.0
PTPRF	Inhibitory	C	24	CGE-derived misc	L2-4	0.0		1.0	0.0	1.0		-0.0
PTPRS	Astrocyte	C	4	Protoplasmic	Mixed				0.0	1.0		
RGS3	Astrocyte	C	4	Protoplasmic	Mixed	0.0		1.0	0.0	1.0		-0.0
SNTG1	Inhibitory	C	7	PV	L3-5	0.062		0.1767	0.0	1.0		-0.0
SNTG1	Inhibitory	C	8	VIP	L1-3	0.062		0.1767	0.0	1.0		-0.0
SNTG1	Inhibitory	C	9	SST	L3-5	0.062		0.1767	0.0	1.0		-0.0
SNTG1	Inhibitory	C	13	LAMP5/NDNF	L1	0.062		0.1767	0.0	1.0		-0.0
SNTG1	Inhibitory	C	15	LAMP5/KIT	L1-2	0.062		0.1767	0.0	1.0		-0.0
SNTG1	Inhibitory	C	16	VIP	L1-3	0.062		0.1767	0.0	1.0		-0.0
SNTG1	Inhibitory	C	21	PV	L3-5	0.062		0.1767	0.0	1.0		-0.0
SNTG1	Inhibitory	C	22	LAMP5/LHX6	L2-3	0.062		0.1767	0.0	1.0		-0.0
SNTG1	Inhibitory	C	24	CGE-derived misc	L2-4	0.062		0.1767	0.0	1.0		-0.0
SYNE1	Inhibitory	C	7	PV	L3-5	0.1017		0.1157	0.0	1.0		-0.0
SYNE1	Inhibitory	C	8	VIP	L1-3	0.1017		0.1157	0.0	1.0		-0.0
SYNE1	Inhibitory	C	9	SST	L3-5	0.1017		0.1157	0.0	1.0		-0.0
SYNE1	Inhibitory	C	13	LAMP5/NDNF	L1	0.1017		0.1157	0.0	1.0		-0.0
SYNE1	Inhibitory	C	15	LAMP5/KIT	L1-2	0.1017		0.1157	0.0	1.0		-0.0
SYNE1	Inhibitory	C	16	VIP	L1-3	0.1017		0.1157	0.0	1.0		-0.0
SYNE1	Inhibitory	C	21	PV	L3-5	0.1017		0.1157	0.0	1.0		-0.0
SYNE1	Inhibitory	C	22	LAMP5/LHX6	L2-3	0.1017		0.1157	0.0	1.0		-0.0
SYNE1	Inhibitory	C	24	CGE-derived misc	L2-4	0.1017		0.1157	0.0	1.0		-0.0
ZCCHC17	Oligodendrocyte	C	0	MOL1/2	WM/L6	-0.0257		0.8339	0.0	1.0		0.0
ZCCHC17	Oligodendrocyte	C	3	MOL2	WM/L6	-0.0257		0.8339	0.0	1.0		0.0
ZCCHC17	Oligodendrocyte	C	28	MOL5/6	WM	-0.0257		0.8339	0.0	1.0		0.0
ZCCHC17	Oligodendrocyte	C	32	MOL5/6	WM	-0.0257		0.8339	0.0	1.0		0.0
ZNF268	Microglia	C	5	SPP1⁺ activated	Mixed	0.0		1.0	0.0	1.0		-0.0
ZNF623	Oligodendrocyte	C	0	MOL1/2	WM/L6	0.0045		0.2085	0.0	1.0		-0.0
ZNF623	Oligodendrocyte	C	3	MOL2	WM/L6	0.0045		0.2085	0.0	1.0		-0.0
ZNF623	Oligodendrocyte	C	28	MOL5/6	WM	0.0045		0.2085	0.0	1.0		-0.0
ZNF623	Oligodendrocyte	C	32	MOL5/6	WM	0.0045		0.2085	0.0	1.0		-0.0
