gene	cell_type	tier	cluster_id	subtype	layer	delta	stager_p	perm_p	cluster_AD_delta	cluster_mwu_p	mechanism	co_enrichment_score
SAMHD1	Inhibitory	A-DR	9	SST	L3-5		0.00768		0.0	1.0	NMD + tetramer loss	
SAMHD1	Inhibitory	A-DR	13	LAMP5/NDNF	L1		0.00768		0.0	1.0	NMD + tetramer loss	
SAMHD1	Inhibitory	A-DR	15	LAMP5/KIT	L1-2		0.00768		0.0	1.0	NMD + tetramer loss	
SAMHD1	Inhibitory	A-DR	16	VIP	L1-3		0.00768		0.0	1.0	NMD + tetramer loss	
SAMHD1	Inhibitory	A-DR	21	PV	L3-5		0.00768		0.0	1.0	NMD + tetramer loss	
SAMHD1	Inhibitory	A-DR	22	LAMP5/LHX6	L2-3		0.00768		0.0	1.0	NMD + tetramer loss	
SAMHD1	Inhibitory	A-DR	24	CGE-derived misc	L2-4		0.00768		0.0	1.0	NMD + tetramer loss	
DDX19A	Inhibitory	A-DR	7	PV	L3-5		0.00768		0.0	1.0	C-term truncation	
DDX19A	Inhibitory	A-DR	8	VIP	L1-3		0.00768		0.0	1.0	C-term truncation	
DDX19A	Inhibitory	A-DR	9	SST	L3-5		0.00768		0.0	1.0	C-term truncation	
DDX19A	Inhibitory	A-DR	13	LAMP5/NDNF	L1		0.00768		0.0	1.0	C-term truncation	
DDX19A	Inhibitory	A-DR	15	LAMP5/KIT	L1-2		0.00768		0.0	1.0	C-term truncation	
DDX19A	Inhibitory	A-DR	16	VIP	L1-3		0.00768		0.0	1.0	C-term truncation	
DDX19A	Inhibitory	A-DR	21	PV	L3-5		0.00768		0.0	1.0	C-term truncation	
DDX19A	Inhibitory	A-DR	22	LAMP5/LHX6	L2-3		0.00768		0.0	1.0	C-term truncation	
DDX19A	Inhibitory	A-DR	24	CGE-derived misc	L2-4		0.00768		0.0	1.0	C-term truncation	
AZIN1	Inhibitory	A-DR	7	PV	L3-5		0.0436		0.0	1.0	Isoform switch	
AZIN1	Inhibitory	A-DR	8	VIP	L1-3		0.0436		0.0	1.0	Isoform switch	
AZIN1	Inhibitory	A-DR	9	SST	L3-5		0.0436		0.0	1.0	Isoform switch	
AZIN1	Inhibitory	A-DR	13	LAMP5/NDNF	L1		0.0436		0.0	1.0	Isoform switch	
AZIN1	Inhibitory	A-DR	15	LAMP5/KIT	L1-2		0.0436		0.0	1.0	Isoform switch	
AZIN1	Inhibitory	A-DR	16	VIP	L1-3		0.0436		0.0	1.0	Isoform switch	
AZIN1	Inhibitory	A-DR	21	PV	L3-5		0.0436		0.0	1.0	Isoform switch	
AZIN1	Inhibitory	A-DR	22	LAMP5/LHX6	L2-3		0.0436		0.0	1.0	Isoform switch	
AZIN1	Inhibitory	A-DR	24	CGE-derived misc	L2-4		0.0436		0.0	1.0	Isoform switch	
CNOT11	Oligodendrocyte	A-DR	0	MOL1/2	WM/L6		0.0348		0.0	1.0	Isoform switch (NIC)	
CNOT11	Oligodendrocyte	A-DR	3	MOL2	WM/L6		0.0348		0.0	1.0	Isoform switch (NIC)	
CNOT11	Oligodendrocyte	A-DR	28	MOL5/6	WM		0.0348		0.0	1.0	Isoform switch (NIC)	
CNOT11	Oligodendrocyte	A-DR	32	MOL5/6	WM		0.0348		0.0	1.0	Isoform switch (NIC)	
DIS3	Oligodendrocyte	A-DR	0	MOL1/2	WM/L6		0.0493		0.0	1.0	Domain loss	
DIS3	Oligodendrocyte	A-DR	3	MOL2	WM/L6		0.0493		0.0	1.0	Domain loss	
DIS3	Oligodendrocyte	A-DR	28	MOL5/6	WM		0.0493		0.0	1.0	Domain loss	
DIS3	Oligodendrocyte	A-DR	32	MOL5/6	WM		0.0493		0.0	1.0	Domain loss	
DOCK10	Microglia	A-DR	5	SPP1⁺ activated	Mixed		0.00115		0.0	1.0	Minor exon	
ERCC6L2	Astrocyte	A-DR	4	Protoplasmic	Mixed		0.0111		0.0	1.0	Domain loss	
NOL8	Microglia	A-DR	5	SPP1⁺ activated	Mixed		0.0385		0.0	1.0	Isoform switch	
DOCK11	Inhibitory	A-BP	7	PV	L3-5	-0.2431		0.0008	0.0	1.0	Complex I / GEF	0.0
DOCK11	Inhibitory	A-BP	8	VIP	L1-3	-0.2431		0.0008	0.0	1.0	Complex I / GEF	0.0
DOCK11	Inhibitory	A-BP	9	SST	L3-5	-0.2431		0.0008	0.0	1.0	Complex I / GEF	0.0
DOCK11	Inhibitory	A-BP	13	LAMP5/NDNF	L1	-0.2431		0.0008	0.0	1.0	Complex I / GEF	0.0
DOCK11	Inhibitory	A-BP	15	LAMP5/KIT	L1-2	-0.2431		0.0008	0.0	1.0	Complex I / GEF	0.0
DOCK11	Inhibitory	A-BP	16	VIP	L1-3	-0.2431		0.0008	0.0	1.0	Complex I / GEF	0.0
DOCK11	Inhibitory	A-BP	21	PV	L3-5	-0.2431		0.0008	0.0	1.0	Complex I / GEF	0.0
DOCK11	Inhibitory	A-BP	22	LAMP5/LHX6	L2-3	-0.2431		0.0008	0.0	1.0	Complex I / GEF	0.0
DOCK11	Inhibitory	A-BP	24	CGE-derived misc	L2-4	-0.2431		0.0008	0.0	1.0	Complex I / GEF	0.0
IFT122	Excitatory	A-BP	1	L2/3 IT	L2/3	-0.2172		0.007	-0.68	0.97177	Complex I / GEF	-0.14769600000000002
IFT122	Excitatory	A-BP	2	L2/3 IT	L2/3	-0.2172		0.007	-2.89	0.80444	Complex I / GEF	-0.627708
IFT122	Excitatory	A-BP	10	L4 IT	L4	-0.2172		0.007	3.37	0.12125	Complex I / GEF	0.7319640000000001
IFT122	Excitatory	A-BP	11	L4 IT	L4	-0.2172		0.007	3.18	0.08905	Complex I / GEF	0.6906960000000001
