0	227381	989
1	316026	569
2	238125	439
3	214630	405
4	306579	403
5	238492	356
6	238020	315
7	307490	228
8	306908	207
9	206637	200
10	238121	194
11	306543	181
12	316449	166
13	238011	157
14	214653	150
15	316378	144
16	306538	141
17	189968	121
18	306997	119
19	254352	110
20	227223	104
21	223533	101
22	175997	95
23	175994	94
24	306513	90
25	316185	87
26	214542	87
27	238036	86
28	306695	86
29	225201	80
30	238001	80
31	316418	74
32	197710	73
33	214652	72
34	278578	71
35	238103	71
36	238006	69
37	197470	69
38	214495	69
39	278556	68
40	237996	68
41	238058	68
42	214614	66
43	319273	66
44	315592	66
45	311943	63
46	214570	61
47	315987	61
48	239074	61
49	197674	60
50	214619	59
51	214604	59
52	238684	59
53	311536	58
54	214550	58
55	238060	58
56	214559	57
57	238091	56
58	317114	56
59	197662	55
60	202224	55
61	307734	54
62	308045	54
63	316058	53
64	307546	53
65	315466	52
66	306517	52
67	306827	52
68	306515	52
69	238012	51
70	238033	50
71	319306	50
72	214547	48
73	227455	48
74	238122	48
75	238039	47
76	238008	47
77	270622	47
78	153056	46
79	128708	45
80	197639	45
81	306535	45
82	308049	45
83	270988	45
84	214470	44
85	197706	44
86	307528	44
87	285524	44
88	214520	43
89	128913	43
90	237988	43
91	238017	43
92	237981	43
93	153063	42
94	278915	42
95	310381	42
96	315355	42
97	306973	42
98	311561	41
99	307410	41
100	306552	41
101	315598	41
102	206649	40
103	318423	40
104	312334	40
105	318993	40
106	214721	39
107	318652	39
108	238073	38
109	197696	38
110	238014	38
111	197736	37
112	319315	37
113	309291	36
114	251032	36
115	143322	35
116	214539	35
117	153060	35
118	306753	35
119	214486	35
120	214487	35
121	128458	35
122	311495	35
123	307998	35
124	312222	35
125	307618	34
126	316366	33
127	307084	33
128	278482	32
129	309152	32
130	311712	31
131	129037	31
132	319291	31
133	239089	31
134	278624	31
135	214468	31
136	197732	31
137	306853	31
138	223589	31
139	214528	31
140	214507	30
141	285248	30
142	279035	30
143	214824	30
144	214634	30
145	306860	30
146	214560	30
147	316431	30
148	214598	30
149	307150	30
150	311579	30
151	307269	29
152	307448	29
153	278443	29
154	214571	29
155	310480	29
156	260032	29
157	279019	29
158	278991	29
159	310992	28
160	309766	28
161	133004	28
162	214512	28
163	214780	28
164	214478	28
165	143229	28
166	307782	28
167	317033	28
168	214665	28
169	197537	28
170	239126	27
171	306998	27
172	306613	27
173	128777	27
