slim	n_chg	pooled_dphi	editcore	editcore_rel	edit_aacomp
NLS_basic_cluster	120	0.6582950484941297	0.7644716692189893	0.694461459928535	0.7776033690658499
PXXP_SH3_binding	116	0.5748176140240382	0.6708261166220543	0.6222379677741038	0.7648533039416365
phospho_CK2	247	0.5367682147750188	0.5752182078477855	0.6004025492218408	0.6894636782069241
phospho_PKA	247	0.5184341374055202	0.5894459752774741	0.6253521343575377	0.6509828974307662
