slim	n_chg	dc	dc_mode	dc_rand	mode_beyond_null
NLS_basic_cluster	123	0.617543922854295	0.6190810726423365	0.5724742107096108	0.046606861932725674
PXXP_SH3_binding	123	0.5576671350169927	0.5372038284636907	0.5648845336311561	-0.027680705167465347
phospho_CK2	253	0.5361945502236417	0.523101213229184	0.5510654594590689	-0.027964246229884915
phospho_PKA	254	0.5649281820541663	0.5474640189207118	0.5515019757145742	-0.004037956793862318
