elm	n_chg	comp	comp_dipep	dipep_beyond_comp	ec_beyond_comp_prior
DEG_Nend_Nbox_1	53	0.6079926624737946	0.63708071278826	0.029088050314465375	0.239
DEG_Nend_UBRbox_2	52	0.5768430598527687	0.5861783847220741	0.009335324869305328	0.236
LIG_BIR_II_1	107	0.6530128259100221	0.5947629872863518	-0.05824983862367028	0.197
DOC_MAPK_gen_1	103	0.5388059701492537	0.6083466164324012	0.06954064628314749	0.106
DEG_Nend_UBRbox_1	48	0.6771551724137932	0.6626724137931035	-0.014482758620689706	0.093
