slim	n_chg	mono	mono_dipep	dipep_beyond_mono
NLS_basic_cluster	123	0.8005313938681555	0.8082329317269077	0.007701537858752161
PXXP_SH3_binding	123	0.7462961602507592	0.7630215985894799	0.016725438338720755
phospho_CK2	252	0.6831182317163625	0.6786456015427977	-0.004472630173564807
phospho_PKA	251	0.6528958791698876	0.6491719688410537	-0.0037239103288339015
