backbone	motif	insert_frac	ratio	insert_len	full_len
34	cMyc_NLS	0.019438444924406047	0.2593286	9	463
35	Nucleoplasmin_NLS	0.04610951008645533	0.11982951	16	347
35	cMyc_NLS	0.026470588235294117	0.13583526	9	340
36	Nucleoplasmin_NLS	0.04020100502512563	0.1070684	16	398
36	cMyc_NLS	0.023017902813299233	0.13543075	9	391
37	Nucleoplasmin_NLS	0.017758046614872364	0.036237903	16	901
37	SV40_NLS	0.007847533632286996	0.03106266	7	892
37	cMyc_NLS	0.010067114093959731	0.041421797	9	894
38	Nucleoplasmin_NLS	0.021739130434782608	0.059679374	16	736
38	SV40_NLS	0.009628610729023384	0.045209743	7	727
39	Nucleoplasmin_NLS	0.09467455621301775	0.3225306	16	169
39	SV40_NLS	0.04375	0.09615352	7	160
39	cMyc_NLS	0.05555555555555555	0.23378278	9	162
40	Nucleoplasmin_NLS	0.0963855421686747	0.18206818	16	166
40	SV40_NLS	0.044585987261146494	0.17165944	7	157
40	cMyc_NLS	0.05660377358490566	0.2785272	9	159
41	Nucleoplasmin_NLS	0.045584045584045586	0.123500355	16	351
41	SV40_NLS	0.02046783625730994	0.059786398	7	342
41	cMyc_NLS	0.02616279069767442	0.07855479	9	344
42	Nucleoplasmin_NLS	0.03931203931203931	0.21997604	16	407
42	SV40_NLS	0.017587939698492462	0.0634902	7	398
42	cMyc_NLS	0.0225	0.20092519	9	400
44	Nucleoplasmin_NLS	0.045845272206303724	0.109933764	16	349
44	SV40_NLS	0.020588235294117647	0.049352314	7	340
44	cMyc_NLS	0.02631578947368421	0.08498979	9	342
45	Nucleoplasmin_NLS	0.03333333333333333	0.12380945	16	480
45	SV40_NLS	0.014861995753715499	0.08243765	7	471
45	cMyc_NLS	0.019027484143763214	0.105401754	9	473
46	Nucleoplasmin_NLS	0.02127659574468085	0.109430335	16	752
46	SV40_NLS	0.009421265141318977	0.06198904	7	743
46	cMyc_NLS	0.012080536912751677	0.13529195	9	745
47	Nucleoplasmin_NLS	0.03619909502262444	0.13387805	16	442
47	SV40_NLS	0.016166281755196306	0.06946115	7	433
47	cMyc_NLS	0.020689655172413793	0.10867969	9	435
49	Nucleoplasmin_NLS	0.05970149253731343	0.14606993	16	268
49	SV40_NLS	0.02702702702702703	0.17267565	7	259
49	cMyc_NLS	0.034482758620689655	0.26806575	9	261
51	Nucleoplasmin_NLS	0.027257240204429302	0.112776324	16	587
51	SV40_NLS	0.012110726643598616	0.061740786	7	578
51	cMyc_NLS	0.015517241379310345	0.1017732	9	580
53	Nucleoplasmin_NLS	0.03619909502262444	0.082172066	16	442
53	SV40_NLS	0.016166281755196306	0.065705575	7	433
53	cMyc_NLS	0.020689655172413793	0.07834942	9	435
54	Nucleoplasmin_NLS	0.014247551202137132	0.085244596	16	1123
54	SV40_NLS	0.0062836624775583485	0.028878305	7	1114
54	cMyc_NLS	0.008064516129032258	0.10901815	9	1116
55	Nucleoplasmin_NLS	0.05776173285198556	0.16036962	16	277
55	cMyc_NLS	0.03333333333333333	0.29040542	9	270
56	Nucleoplasmin_NLS	0.08040201005025126	0.31847554	16	199
56	SV40_NLS	0.03684210526315789	0.14345893	7	190
56	cMyc_NLS	0.046875	0.2612979	9	192
57	Nucleoplasmin_NLS	0.030828516377649325	0.19371292	16	519
57	SV40_NLS	0.013725490196078431	0.17988123	7	510
57	cMyc_NLS	0.017578125	0.22901982	9	512
58	Nucleoplasmin_NLS	0.04	0.11412604	16	400
58	SV40_NLS	0.017902813299232736	0.04775676	7	391
58	cMyc_NLS	0.022900763358778626	0.079897024	9	393
59	Nucleoplasmin_NLS	0.07655502392344497	0.23154727	16	209
59	SV40_NLS	0.035	0.12851907	7	200
59	cMyc_NLS	0.04455445544554455	0.23352408	9	202
60	Nucleoplasmin_NLS	0.07373271889400922	0.28057033	16	217
60	cMyc_NLS	0.04285714285714286	0.15350968	9	210
61	Nucleoplasmin_NLS	0.02867383512544803	0.07190023	16	558
61	SV40_NLS	0.012750455373406194	0.04483651	7	549
61	cMyc_NLS	0.016333938294010888	0.06328346	9	551
62	Nucleoplasmin_NLS	0.03470715835140998	0.074743725	16	461
62	cMyc_NLS	0.019823788546255508	0.16348873	9	454
63	Nucleoplasmin_NLS	0.021164021164021163	0.09332963	16	756
63	SV40_NLS	0.009370816599732263	0.060186263	7	747
63	cMyc_NLS	0.012016021361815754	0.0934435	9	749
64	Nucleoplasmin_NLS	0.0893854748603352	0.28581443	16	179
64	SV40_NLS	0.041176470588235294	0.1536074	7	170
64	cMyc_NLS	0.05232558139534884	0.28386605	9	172
65	Nucleoplasmin_NLS	0.033402922755741124	0.18640962	16	479
65	SV40_NLS	0.014893617021276596	0.14916548	7	470
65	cMyc_NLS	0.019067796610169493	0.1776883	9	472
66	Nucleoplasmin_NLS	0.0851063829787234	0.2145343	16	188
66	cMyc_NLS	0.049723756906077346	0.3062987	9	181
67	Nucleoplasmin_NLS	0.010914051841746248	0.07492899	16	1466
67	cMyc_NLS	0.00616860863605209	0.15536074	9	1459
68	Nucleoplasmin_NLS	0.07960199004975124	0.28624737	16	201
68	SV40_NLS	0.036458333333333336	0.17155862	7	192
68	cMyc_NLS	0.04639175257731959	0.35780668	9	194
69	Nucleoplasmin_NLS	0.020752269779507133	0.29206353	16	771
69	SV40_NLS	0.009186351706036745	0.0782317	7	762
69	cMyc_NLS	0.011780104712041885	0.10300256	9	764
