cluster	subtype	n_total	AD_mean_pct	CT_mean_pct	AC_mean_pct	delta_pct	n_AD	n_CT	MWU_p	sig
9	SST	2864	8.36557903227633	13.549831176978973	8.845556234732488	-5.1842521447026435	13	8	0.030232443854734878	*
21	PV	1209	5.349708893061948	7.614646715285357	3.562011188745236	-2.264937822223409	13	8	0.10419185217946829	ns
7	PV	5537	18.54107209136616	19.23778093769003	28.28993765909413	-0.6967088463238689	13	8	0.7501007420512065	ns
8	VIP	5088	24.68746393222653	24.854978051746343	22.203612368274946	-0.16751411951981154	13	8	0.6969973954494079	ns
22	LAMP5	979	3.9529872974146656	4.077236047195067	4.601721987610689	-0.12424874978040101	13	8	0.971105261466828	ns
24	Mixed/Unknown	681	3.048646944021856	2.901783446787735	2.7068590486516495	0.14686349723412118	13	8	0.9717725686765935	ns
13	LAMP5	2652	11.507151030861591	11.170294853148885	9.707952033107142	0.33685617771270593	13	8	0.9155339328713942	ns
16	VIP	2321	14.057470336476273	10.50227272002615	9.250694377000517	3.5551976164501227	13	8	0.07560076662243846	†
15	LAMP5	2097	10.489920442294647	6.091176051141462	10.831655102783207	4.398744391153185	13	8	0.003410487001818271	**
