type	n	n_terms	auprc	ci_lo	ci_hi
Type1_DomainLoss	3800	80	0.6412382733378851	0.6244809362363534	0.6567702822863962
Type2_PartialTrunc	938	73	0.6492715704628842	0.625341473779686	0.683078869015321
Type3_SameDomain	12745	81	0.7840937864119231	0.7766722091323897	0.7927347328065573
Type0_NoDomain	19265	81	0.7076641934034787	0.6966030115301387	0.7193954245103443
