sample	condition	cluster	layer	PRSS12	AGRN	KIF21B	RBFOX1	APP	NRG1
PO05	AD	18	L4	0.3623403310775757	0.09418795257806778	0.2082837074995041	3.1480724811553955	1.8926677703857422	0.9214468002319336
PO05	AD	10	L4	0.03614442050457001	0.05066418647766113	0.1540277898311615	3.75933575630188	1.4384939670562744	1.7930575609207153
PO05	AD	11	L4	0.062189605087041855	0.025456929579377174	0.18581239879131317	4.084864616394043	1.7054619789123535	2.7526841163635254
PO05	AD	19	L5	0.0	0.03958762437105179	0.19782531261444092	3.9978134632110596	1.750499963760376	1.8624730110168457
PO11	AD	18	L4	0.34026747941970825	0.06837555766105652	0.2718665301799774	3.284998655319214	1.7992984056472778	1.580641508102417
PO11	AD	10	L4	0.14796286821365356	0.04629988223314285	0.1540469080209732	3.590991497039795	1.4722493886947632	1.999588966369629
PO11	AD	11	L4	0.09509654343128204	0.013572506606578827	0.21390634775161743	3.981501817703247	1.5991822481155396	2.647113561630249
PO11	AD	19	L5	0.0	0.04088609293103218	0.15528137981891632	3.8699052333831787	1.5281907320022583	1.5578036308288574
PO13	Control	18	L4	0.2629590332508087	0.14378172159194946	0.3219427466392517	3.2079544067382812	1.8914247751235962	1.2917277812957764
PO13	Control	10	L4	0.06581029295921326	0.07801340520381927	0.21814338862895966	3.8949227333068848	1.5454052686691284	2.543626546859741
PO13	Control	11	L4	0.05238255858421326	0.02573796920478344	0.28646907210350037	4.199915409088135	1.644720435142517	2.9155027866363525
PO13	Control	19	L5	0.0	0.032534126192331314	0.28547340631484985	3.9329099655151367	1.6718413829803467	1.890107274055481
PO15	Control	18	L4	0.3862154483795166	0.11146868765354156	0.24476130306720734	2.852409601211548	2.1607680320739746	0.9793612957000732
PO15	Control	10	L4	0.18710501492023468	0.082501620054245	0.22465772926807404	3.4587159156799316	1.7623767852783203	1.5524404048919678
PO15	Control	11	L4	0.07101073861122131	0.07361437380313873	0.23238040506839752	3.9414308071136475	1.8794989585876465	2.845085859298706
PO15	Control	19	L5	0.0	0.03835946321487427	0.26496708393096924	3.653904914855957	1.697258472442627	2.2692830562591553
PO20	Control	18	L4	0.3141287565231323	0.06394585967063904	0.23162196576595306	3.3310840129852295	1.8147939443588257	1.8022754192352295
PO20	Control	10	L4	0.061636392027139664	0.0248178131878376	0.11773233115673065	3.893289089202881	1.477121114730835	2.0186405181884766
PO20	Control	11	L4	0.05539626255631447	0.025781096890568733	0.19756680727005005	4.106895446777344	1.5696903467178345	2.8101768493652344
PO20	Control	19	L5	0.002836416009813547	0.04562326520681381	0.15922200679779053	4.024216175079346	1.5317113399505615	2.0672943592071533
PO23	Control	18	L4	0.31824976205825806	0.09264048933982849	0.2567419409751892	3.051398277282715	1.9674439430236816	1.941603422164917
PO23	Control	10	L4	0.056407585740089417	0.10432697087526321	0.16123341023921967	3.7734999656677246	1.5417598485946655	2.056063175201416
PO23	Control	11	L4	0.0986282080411911	0.04134197160601616	0.2415999323129654	4.108989715576172	1.7248706817626953	2.6884925365448
PO23	Control	19	L5	0.0	0.07589825987815857	0.2522449791431427	3.98722767829895	1.7767878770828247	2.0348949432373047
PO28	AD	18	L4	0.44621649384498596	0.08644063025712967	0.3291011452674866	2.931101083755493	1.9932396411895752	1.6359283924102783
PO28	AD	10	L4	0.12043300271034241	0.06464508920907974	0.17198500037193298	3.596951961517334	1.6048367023468018	2.1187472343444824
PO28	AD	11	L4	0.10430344194173813	0.026700463145971298	0.2578505277633667	4.031164646148682	1.7456132173538208	2.850245237350464
PO28	AD	19	L5	0.004264672286808491	0.04007887840270996	0.14606264233589172	3.9672532081604004	1.6679401397705078	2.0883660316467285
PO41	AD	18	L4	0.21293720602989197	0.07724099606275558	0.2845010757446289	3.599306344985962	1.8681731224060059	1.7923263311386108
PO41	AD	10	L4	0.09776878356933594	0.057869479060173035	0.267267107963562	3.7133231163024902	1.5109484195709229	1.8905029296875
PO41	AD	11	L4	0.14019939303398132	0.056844402104616165	0.2869986593723297	4.043529510498047	1.6608083248138428	2.930250644683838
PO41	AD	19	L5	0.0	0.04683753848075867	0.2767661511898041	3.906430959701538	1.657302975654602	1.610987663269043
PO42	AD	18	L4	0.23105181753635406	0.07918407768011093	0.2879469394683838	3.2784788608551025	1.8478281497955322	1.7693195343017578
PO42	AD	10	L4	0.11062920093536377	0.05881473049521446	0.2079983651638031	3.781217098236084	1.460569143295288	2.29782772064209
PO42	AD	11	L4	0.1281932294368744	0.04487690329551697	0.19339436292648315	4.073358535766602	1.6260658502578735	2.9462943077087402
PO42	AD	19	L5	0.008340960368514061	0.06015186011791229	0.18837668001651764	3.8901255130767822	1.5400487184524536	1.9613608121871948
SMC027	Control	10	L4	0.21643489599227905	0.1932375580072403	0.1932375580072403	3.4038422107696533	1.8472540378570557	2.569197177886963
SMC027	Control	11	L4	0.0	0.1926249861717224	0.2261359989643097	3.857635259628296	1.8578870296478271	2.440829277038574
SMC027	Control	19	L5	0.0	0.0	0.15350177884101868	3.792694568634033	1.7001960277557373	2.5609028339385986
SMC029	AD	10	L4	0.19922418892383575	0.0	0.26765260100364685	3.527493476867676	1.6654983758926392	1.7222998142242432
SMC029	AD	11	L4	0.0	0.044678911566734314	0.27823638916015625	3.63309383392334	1.9527816772460938	2.0507421493530273
SMC030	Control	18	L4	0.41625988483428955	0.14886754751205444	0.31254813075065613	2.466905355453491	2.1318345069885254	1.524265170097351
SMC030	Control	10	L4	0.04630134254693985	0.08646591007709503	0.2135980874300003	3.313791036605835	1.741254210472107	1.517359733581543
SMC030	Control	11	L4	0.009064003825187683	0.07185468822717667	0.21124082803726196	3.571840763092041	1.7182422876358032	1.7569864988327026
SMC030	Control	19	L5	0.0	0.04846089333295822	0.23752006888389587	3.5438969135284424	1.6276625394821167	1.7473899126052856
SMC031	Active control	18	L4	0.35103538632392883	0.11399246752262115	0.23984640836715698	2.202420234680176	1.8046313524246216	0.9065595269203186
SMC031	Active control	10	L4	0.016095666214823723	0.03881575167179108	0.21971537172794342	3.259833812713623	1.5769388675689697	2.48982834815979
SMC031	Active control	11	L4	0.0	0.07869766652584076	0.18787267804145813	3.5785951614379883	1.5932793617248535	1.5457619428634644
SMC031	Active control	19	L5	0.0	0.04703456163406372	0.47600656747817993	3.8182930946350098	1.883331537246704	3.404453754425049
SMC032	AD	18	L4	0.1879565417766571	0.0950392410159111	0.22882726788520813	2.543795108795166	1.9057722091674805	0.9683744311332703
SMC032	AD	10	L4	0.12772786617279053	0.07432658225297928	0.18266190588474274	3.294955015182495	1.6850405931472778	1.549309253692627
SMC032	AD	11	L4	0.034724075347185135	0.01808471977710724	0.22155769169330597	3.6289334297180176	1.7106728553771973	2.035536527633667
SMC032	AD	19	L5	0.0	0.14380842447280884	0.33179694414138794	3.8969955444335938	1.573778510093689	2.057668685913086
SMC033	Control	18	L4	0.31599411368370056	0.15156856179237366	0.27354562282562256	2.6740095615386963	2.106757640838623	1.1257479190826416
SMC033	Control	10	L4	0.10940675437450409	0.1150493249297142	0.2312321960926056	3.488306999206543	1.7456896305084229	1.9357733726501465
SMC033	Control	11	L4	0.034184981137514114	0.11242880672216415	0.2612763047218323	3.8524999618530273	1.7846366167068481	2.164743423461914
SMC033	Control	19	L5	0.0038923530373722315	0.054829493165016174	0.2381245493888855	3.693239212036133	1.6873154640197754	2.2144408226013184
SMC035	Active control	18	L4	0.3442785441875458	0.07102333009243011	0.2884664833545685	2.695249319076538	1.8998461961746216	1.3983404636383057
SMC035	Active control	10	L4	0.11623770743608475	0.07930150628089905	0.2520720362663269	3.342350482940674	1.546384572982788	1.7845690250396729
SMC035	Active control	11	L4	0.03148934245109558	0.04766981303691864	0.30312803387641907	3.7397749423980713	1.7516844272613525	2.3664684295654297
SMC035	Active control	19	L5	0.0032268234062939882	0.049755729734897614	0.24230192601680756	3.6615827083587646	1.6409411430358887	2.1282482147216797
SMC036	AD	18	L4	0.32519403100013733	0.1241120994091034	0.4751892685890198	3.246318817138672	1.9532802104949951	2.1726925373077393
SMC036	AD	10	L4	0.12505987286567688	0.05995076149702072	0.249381422996521	3.70796537399292	1.52692711353302	2.016002893447876
SMC036	AD	11	L4	0.039945993572473526	0.039945993572473526	0.38828644156455994	4.097811222076416	1.6583137512207031	2.76345157623291
