cluster	n_cells	PRSS12	AGRN	NRG1	NRXN1	NRXN3	CNTN1	MUSK	RAPSN	LRP4	DLG1	DLG4	SHANK3	HOMER1	APP	BIN1	CLU	PICALM	RBFOX1	NOVA1	NOVA2	KIF21B	KIF5A	KIF5C	ETV1	BCL11A	RORB	layer
1	10258.0	0.05732904374599457	0.0878903791308403	0.17895422875881195	3.3456482887268066	2.7115182876586914	2.157759189605713	0.001670229365117848	0.00037200009683147073	0.00777457095682621	1.4297261238098145	0.2816399037837982	0.45647019147872925	0.967960000038147	1.5043070316314697	0.3082619309425354	0.88809734582901	0.7698380947113037	3.9254870414733887	1.7864654064178467	0.3202964663505554	0.07691028714179993	0.49372902512550354	1.3342032432556152	0.021704040467739105	0.8164471387863159	0.13053064048290253	L2/3
2	9711.0	0.15363433957099915	0.1318255513906479	1.399907112121582	3.5656018257141113	3.4990618228912354	2.222303867340088	0.0010373666882514954	0.00041115254862233996	0.005558416247367859	1.4281668663024902	0.23716580867767334	0.4134030044078827	1.0919935703277588	1.719710111618042	0.3683617115020752	0.8154768943786621	0.8444181680679321	4.103911876678467	1.5106571912765503	0.3324606418609619	0.15569061040878296	0.5700677037239075	1.3595330715179443	0.033289290964603424	0.589495062828064	1.0490738153457642	L2/3
27	666.0	0.004216357599943876	0.12168703973293304	3.0283732414245605	3.2798776626586914	3.2763285636901855	1.9563722610473633	0.0	0.00046583189396187663	0.013439461588859558	1.3449912071228027	0.1752728521823883	0.4079490900039673	1.320343017578125	1.7979309558868408	0.35316988825798035	0.5228993892669678	0.8507130742073059	4.039740562438965	0.9885317087173462	0.2945420444011688	0.12793560326099396	0.6474877595901489	1.1636638641357422	0.07022562623023987	0.28463268280029297	0.036449313163757324	L2/3
10	4156.0	0.09518369287252426	0.0817485898733139	1.8918683528900146	3.71053147315979	3.27219295501709	2.2315616607666016	0.001539277145639062	0.0004923315136693418	0.007862863130867481	1.6195063591003418	0.27842411398887634	0.3231590986251831	0.7892000675201416	1.5600533485412598	0.37732040882110596	1.055471420288086	0.8308714628219604	3.5712480545043945	1.8948572874069214	0.30312579870224	0.19212421774864197	0.6181921362876892	1.5420804023742676	0.015613330528140068	0.9257810115814209	2.4465770721435547	L4
11	4290.0	0.0605769045650959	0.05051053315401077	2.490333080291748	3.4807612895965576	3.1664204597473145	2.229220390319824	0.0008650294039398432	0.0003973015700466931	0.006571989040821791	1.6958637237548828	0.22875672578811646	0.2731344997882843	0.6487087607383728	1.69807767868042	0.3571069836616516	0.7405789494514465	0.8787286281585693	3.919198989868164	1.6587607860565186	0.2975684404373169	0.22041961550712585	0.602502167224884	1.3653385639190674	0.30268073081970215	1.1587103605270386	2.1495847702026367	L4
18	1603.0	0.31839364767074585	0.11599399149417877	1.4281152486801147	3.4628915786743164	3.550248622894287	2.176392078399658	0.0016070489073172212	0.0	0.011249789036810398	1.5601774454116821	0.2805427312850952	0.3295578062534332	0.9703760147094727	1.9356608390808105	0.4576883316040039	0.6014634966850281	0.8166159391403198	2.9377071857452393	1.9531936645507812	0.36187830567359924	0.2876219153404236	0.6232285499572754	1.4404776096343994	0.023540640249848366	0.1844276785850525	2.1549835205078125	L4
19	1410.0	0.0036382644902914762	0.046788133680820465	2.1101880073547363	3.772334098815918	3.059908866882324	2.455185651779175	0.0016271488275378942	0.0013095152098685503	0.013052795082330704	1.5073919296264648	0.20735645294189453	0.344929963350296	0.8639947175979614	1.6351923942565918	0.3257322907447815	0.8510081768035889	0.9120713472366333	3.8412835597991943	1.3182473182678223	0.34675830602645874	0.22430136799812317	0.5284099578857422	1.2061798572540283	0.30553483963012695	1.072767972946167	0.0415068119764328	L5
26	744.0	0.05515028536319733	0.0708884596824646	0.3803621828556061	3.801717758178711	2.9732985496520996	2.0220985412597656	0.0010923414956778288	0.0	0.01202250737696886	1.7132117748260498	0.21384799480438232	0.3843715190887451	0.9900158047676086	1.611070990562439	0.4666796922683716	0.6309861540794373	0.8851441144943237	4.056694984436035	1.2378098964691162	0.34176406264305115	0.14681825041770935	0.6426312923431396	1.4268444776535034	0.9934988021850586	1.243098258972168	0.07873591780662537	L5
25	757.0	0.0025608991272747517	0.062177255749702454	1.5945866107940674	3.7321150302886963	3.5114288330078125	2.2916650772094727	0.0013766516931355	0.0	0.0069282217882573605	1.7065337896347046	0.24464526772499084	0.3109210729598999	0.9106366634368896	1.6041383743286133	0.3443957567214966	0.9763981699943542	0.8673146367073059	3.721730947494507	1.719081163406372	0.3246472477912903	0.24211730062961578	0.6090126633644104	1.3761229515075684	0.02958565577864647	1.011859655380249	2.1594810485839844	L6
20	1356.0	0.0009247404523193836	0.049289245158433914	2.5409035682678223	3.6052112579345703	2.8956143856048584	2.531451940536499	0.0012396660167723894	0.0003078682057093829	0.005537408869713545	1.3995745182037354	0.17926041781902313	0.3768230676651001	0.9879072308540344	1.668291449546814	0.3210010826587677	0.7947455644607544	0.8733596205711365	4.125993251800537	1.503929853439331	0.3406636714935303	0.20064526796340942	0.6110120415687561	1.2303895950317383	0.11769620329141617	0.7043061256408691	0.3539891839027405	Unclassified
